ADDRESS,CITY,ZIP CODE,PHONE NUMBER,GEOMETRY,Apartment Complex Name
"3002 MASON AVE, BLDG 141",BATON ROUGE,70805,,POINT (-91.161509000588 30.506134106581),MONTE SANO VILLAGE APARTMENTS
1587 COLLEGE DR,BATON ROUGE,70808,,POINT (-91.133680914607 30.43486792895),OLE TOWNE APARTMENTS
5021 MC CLELLAND DR,BATON ROUGE,70805,,POINT (-91.135684406322 30.496109786859),APARTMENTS
7905 JEFFERSON PLACE BLVD,BATON ROUGE,70809,,POINT (-91.104115606398 30.421538904817),MAISON BOCAGE APARTMENTS AND TOWNHOMES
3545 MARIE DR,BATON ROUGE,70806,,POINT (-91.152798804769 30.440701296259),THE VILLAS APARTMENTS
1126 N ARDENWOOD DR,BATON ROUGE,70806,,POINT (-91.126703152094 30.459893993073),DALI PLACE APARTMENTS
"425 LONGWOOD CT, STE A",BATON ROUGE,70806,,POINT (-91.143357020847 30.445114939149),LONGWOOD COURT APARTMENTS
"11070 MEAD RD, BLDG 15",BATON ROUGE,70816,,POINT (-91.058412963223 30.42438005094),WILLOWBEND LAKES APARTMENTS
1330 JIM TAYLOR DR,BATON ROUGE,70820,,POINT (-91.182739819664 30.392205572775),TIGERPARK APARTMENTS
1329 N FOSTER DR,BATON ROUGE,70806,,POINT (-91.13990582527 30.46031701821),PROVINCIAL NORTH APARTMENTS
11271 FLORIDA BLVD,BATON ROUGE,70815,,POINT (-91.059438089286 30.459671314433),CHATEAU JACQUES APARTMENTS
1146 W CHIMES ST,BATON ROUGE,70802,,POINT (-91.190139450549 30.418972279105),WEST CHIMES PLACE 3 APARTMENTS
2516 GATES CIR,BATON ROUGE,70809,,POINT (-91.122460427956 30.421754767703),GATES AT CITIPLACE APARTMENTS
10707 INDUSTRIPLEX BLVD,BATON ROUGE,70809,,POINT (-91.065984255743 30.391498866573),THE HIDDEN OAKS AT SIEGEN APARTMENTS
12638 LA MARGIE AVE,BATON ROUGE,70815,,POINT (-91.042249750538 30.469751492671),CHERRY CREEK APARTMENTS
"5958 CADILLAC ST, BLDG 1124",BATON ROUGE,70811,,POINT (-91.128196572955 30.51758639086),CADILLAC STREET PLACE APARTMENTS
7744 LASALLE AVE,BATON ROUGE,70806,,POINT (-91.107844386267 30.435024257409),LASALLE PLACE APARTMENTS
7271 AIRLINE HWY,BATON ROUGE,70805,,POINT (-91.115919364042 30.481768753681),CROWN EXTENDED STAY HOTEL APARTMENTS
11358 BARD AVE,BATON ROUGE,70815,,POINT (-91.057360423327 30.467730912804),PARK PLACE ON BARD APARTMENTS
10720 LINKWOOD CT,BATON ROUGE,70810,,POINT (-91.098136833334 30.373599162271),TURNBERRY PLACE APARTMENTS
7713 BLES AVE,BATON ROUGE,70810,,POINT (-91.108748062745 30.392539062556),APARTMENTS
10338 CELTIC DR,BATON ROUGE,70809,,POINT (-91.075955020125 30.41449740066),CYPRESS PARK APARTMENTS
1724 BRIGHTSIDE DR,BATON ROUGE,70820,,POINT (-91.177280632793 30.388813470269),BRIGHTSIDE MANOR APARTMENTS
8760 ELM GROVE GARDEN DR,BATON ROUGE,70807,,POINT (-91.168342552832 30.526666774791),ELM GROVE GARDENS APARTMENTS
